,#,"产品名称
Product Name","产品名称(EN)
Product Name","产品型号
Model Name","SKU/产品码
SKU/Product Code","序列号前缀
Serial Number(SN) Prefix","产品ID (SaaS)
Product ID",Brand,UPC,产品类型,"重量（千克）
Weight (kg)","体积（立方米）
Volume (cu.m)","长（厘米）
Length (cm)","宽（厘米）
Width (cm)","深度（厘米）
Depth (cm)","是否为危险品？
Dangerous Goods?","备注
Notes",,,,,,,,,,,,,,,,,,,
,3,KineMON 5 寸遮阳罩,KineMON Sunhood 5'',MONSH,A612-501-01,-,9-110-502-01,Kinefinity,6153056599517,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,KineMON 7 寸遮阳罩,KineMON Sunhood 7'',MONSH,A612-502-01,-,9-110-502-02,Kinefinity,6153050768773,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,KineEVF 寻像器海绵眼罩,KineEVF Eyecushion,KEC1,A612-506-01,-,9-110-503-01,Kinefinity,6153050868855,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Kinefinity NATO滑条,Kinefinity NATO Rail,KRV8,K611-008-01,,9-611-008-01,Kinefinity,757200089724,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,6寸 强力怪手/万向支撑,"6"" Strong Arm",MONS1,A612-509-01,-,9-563-001-00,Kinefinity,6153050077042,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,7寸 强力怪手/万向支撑,"7"" Strong Arm",MONS1,A612-509-02,-,9-563-001-01,Kinefinity,6153056679660,Rig;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,USB-C线缆（C2C，25cm）,"USB-C Cable C25 (C2C, 25cm)",KCC1,K611-005-01,,9-611-005-01,Kinefinity,757200089594,线缆;电子寻像器,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,USB-C 10Gbps数据线,KineMAG USB-C 10Gbps Cable,KCC2,A633-001-01,-,9-555-000-00,Kinefinity,6153057960934,线缆;存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,电源附件,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,KineBAT 99,PD KineBAT 99,KBV31,A430-001-01,KB3_1,9-430-001-01,Kinefinity,6153054393308,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,KineBAT 99 两电一充,PD KineBAT 99 x2 + 65W PD Power Adapter x1,KBV31,A943-001-01,-,P-430-001-01,Kinefinity,6153050466471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,KineBAT 200,PD KineBAT 200,KBV32,A430-002-01,KB3_2,9-430-002-01,Kinefinity,6153050858832,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,KineBAT 200 两电两充,PD KineBAT 200 x2 + 65W PD Power Adapter x2,KBV32,A943-002-01,-,P-430-002-01,Kinefinity,6153055543528,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,GripBAT 2S,GripBAT 2S,GBF10,A410-201-01,GBF_1,9-410-201-01,Kinefinity,,电池,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,GripBAT 2S x4,GripBAT 2S x4,GBF10,A941-201-01,-,P-532-000-00,Kinefinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,GripBAT 2S 两电一充,GripBAT 2S x2 + PD Hybrid Dual Charger Pack x1,GBF10,A941-202-01,-,P-532-000-01,Kinefinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
