,,产品名称,产品名称(EN),产品型号,序列号前缀,物料ID,Brand,产品类型,,,,,,,,,,,,,,,,,,,
,,Product Name,Product Name,Model Name,Serial Number(SN) Prefix,Material ID,,,,,,,,,,,,,,,,,,,,,
,,KineMON 监视器遮阳罩,KineMON Sunhood 5'',MONSH,,9-110-502-01,,Rig;监视器,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,寻像器海绵眼罩,KineEVF Eyecushion,KEC1,,9-110-503-01,,Rig;监视器,,,,,,,,,,,,,,,,,,,
,,Kinefinity NATO滑条,Kinefinity NATO Rail,KRV8,,9-611-008-01,,Rig;监视器,,,,,,,,,,,,,,,,,,,
,,强力怪手/万向支撑,"6"" Strong Arm",MONS1,,9-563-001-00,,Rig;监视器,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,USB-C线缆,"USB-C Cable C25 (C2C, 25cm)",KCC1,,9-611-005-01,,线缆;电子寻像器,,,,,,,,,,,,,,,,,,,
,,USB-C 10Gbps数据线,KineMAG USB-C 10Gbps Cable,KCC2,,9-555-000-00,,线缆;存储卡,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KineBAT 99,PD KineBAT 99,KBV31,KB3_1,9-430-001-01,,电池,,,,,,,,,,,,,,,,,,,
,,KineBAT 200,PD KineBAT 200,KBV32,KB3_2,9-430-002-01,,电池,,,,,,,,,,,,,,,,,,,
,,GripBAT 2S,GripBAT 2S,GBF10,GBF_1,9-410-201-01,,电池,,,,,,,,,,,,,,,,,,,
,,GripBAT 2Si,GripBAT 2Si,GBF20,GBF_2,9-410-201-02,,电池,,,,,,,,,,,,,,,,,,,
,,GripBAT 4S,GripBAT 4S,GBU10,GBU_1,9-410-202-01,,电池,,,,,,,,,,,,,,,,,,,
,,PD混合双路充电器,PD Hybrid Dual Charger,PHC10,HDC_1,9-410-100-01,,电源,,,,,,,,,,,,,,,,,,,
,,65W PD电源适配器,65W PD Power Adapter,PPA13,,9-410-301-02,,电源,,,,,,,,,,,,,,,,,,,
,,100W电源线1B,100W Power Cord 1B,PC21,,9-554-000-00,,线缆;电源,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MAVO Edge KineKIT 套件,Movcam KineKIT-Edge,MEP1,,9-601-901-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,封闭式上手提,Movcam Enclosed Top Handgrip,MET1,,9-601-911-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,Edge套件上顶板,Movcam Top Plate,MET2,,9-601-912-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,侧面NATO导轨,Movcam NATO Slider on Top Plate,MET3,,9-601-913-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,Edge套件侧支撑,Movcam Side Support,MET4,,9-601-914-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,Edge套件UPS底座,Movcam UPS Baseplate,MET5,,9-601-915-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,KineMON 旋转固定座,Movcam KineMON Swivel Mount,MET6,,9-612-503-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,KineMON 冷靴口固定座,KineMON Coldshoe Mount,MET7,,9-581-000-00,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,Movcam 15mm铝管,"Al Rod of 15mm diameter, 200mm Length",M151,,9-601-916-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,碳纤维上手提,Movcam Carbon Fiber Handgrip,MTH1,,9-601-918-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,Movcam 轻型燕尾槽底板,Movcam Sliding Dovetail Plate,MDP1,,9-601-917-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,寻像器迷你支架,E-Viewfinder Mini Mount,KRV1,,9-613-507-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,寻像器支架,E-Viewfinder Rod Mount,KRV2,,9-612-508-01,Movcam,Rig,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Toprig 供电底板NP-F,Accsoon Toprig Battery Plate,ACC04-P,,9-594-027-01,Accsoon,电源,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kinefinity电动改锥,Kinefinity Screwdriver,TSD1,,9-710-001-02,,周边,,,,,,,,,,,,,,,,,,,
,,MAVO Edge 8K T恤衫,"Kinefinity T-shirt (MAVO Edge 8K, M)",TSE1,,9-710-101-01,,周边,,,,,,,,,,,,,,,,,,,
,,MAVO Edge 8K 帆布包,Kinefinity Bag (MAVO Edge 8K),TSE2,,9-710-201-01,,周边,,,,,,,,,,,,,,,,,,,
,,Kine LOGO徽章,Kinefinity Badge (Logo),TLG1,,9-710-202-01,,周边,,,,,,,,,,,,,,,,,,,
,,Kine LOGO贴,Logo Tag x5,TLG2,,9-710-301-01,,周边,,,,,,,,,,,,,,,,,,,
