,产品名称,产品名称(EN),产品型号,序列号前缀,物料ID,产品类型,备注,,,,,,,,,,,,,,,,,,
,Product Name,Product Name,Model Name,Serial Number(SN) Prefix,Material ID,,Notes,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,MC5030 4K讯道摄像机,MC5030 4K Live System Camera,MC5030,EFC_1,9-020-001-01,广电摄像机,"S35, B4X卡口",,,,,,,,,,,,,,,,,,
,MC6030 4K讯道摄像机,MC6030 4K Live System Camera,MC6030,EFC_2,9-020-002-01,广电摄像机,"S35, 6K, PL卡口",,,,,,,,,,,,,,,,,,
,MC8030 8K讯道摄像机,MC8030 8K Live System Camera,MC8030,EFC_3,9-020-003-01,广电摄像机,"FF, 8K, PL卡口",,,,,,,,,,,,,,,,,,
,CCU5000 4K摄像机控制单元,CCU5000 4K Camera Control Unit,CCU5000,EFU_1,9-020-101-01,广电摄像机,,,,,,,,,,,,,,,,,,,
,CCU6000 4K摄像机控制单元,CCU6000 4K Camera Control Unit,CCU6000,EFU_2,9-020-102-01,广电摄像机,,,,,,,,,,,,,,,,,,,
,CCU8000 4K摄像机控制单元,CCU8000 4K Camera Control Unit,CCU8000,EFU_3,9-020-103-01,广电摄像机,,,,,,,,,,,,,,,,,,,
,RCP300 控制面板,RCP300 Control Panel,RCP300,RCP_1,9-602-002-01,广电摄像机;附件,,,,,,,,,,,,,,,,,,,
,KineMON-7E 7寸高亮LCD寻像器,KineMON-7E 7” Ultra Bright Viewfinder,MON23,MON2_3,9-120-202-01,广电摄像机;监视器,基于7U2改进的7E,,,,,,,,,,,,,,,,,,
,M503 4K多用途摄像机,M503 4K Multi-purpose Camera,M503,MPC_1,9-030-001-01,广电摄像机,"S35, B4X卡口",,,,,,,,,,,,,,,,,,
,M603 4K多用途摄像机,M603 4K Multi-purpose Camera,M603,MPC_2,9-030-002-01,广电摄像机,"S35, 6K, PL卡口, 原M503",,,,,,,,,,,,,,,,,,
,M603KP 4K多用途摄像机,M603KP 4K Multi-purpose Camera,M603KP,MPC_21,9-030-002-02,广电摄像机,"S35, 6K, PL卡口, 原M503KP，，for 科旭威尔",,,,,,,,,,,,,,,,,,
,M606 4K多用途摄像机,M606 4K Multi-purpose Camera,M606,MPC_3,9-030-003-01,广电摄像机,"FF, 6K, PL卡口",,,,,,,,,,,,,,,,,,
,M606KP 4K多用途摄像机,M606KP 4K Multi-purpose Camera,M606KP,MPC_31,9-030-003-02,广电摄像机,"FF, 6K, PL卡口，for 科旭威尔",,,,,,,,,,,,,,,,,,
,M803 8K多用途摄像机,M803 8K Multi-purpose Camera,M803,MPC_4,9-030-004-01,广电摄像机,"FF, 8K, PL卡口, 原M820",,,,,,,,,,,,,,,,,,
,广播级摄像机授权,Broadcast Camera License,BC-LICENSE,,,授权,SDI I/O 1和2 从3G SDI到12G SDI：对应的摄像机和CCU上；对于讯道机5030有效,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
