,#,"产品名称
Product Name","产品名称(EN)
Product Name","产品型号
Model Name","SKU/产品码
SKU/Product Code","序列号前缀
Serial Number(SN) Prefix","产品ID (SaaS)
Product ID",UPC,产品类型,"重量（千克）
Weight (kg)","体积（立方米）
Volume (cu.m)","长（厘米）
Length (cm)","宽（厘米）
Width (cm)","深度（厘米）
Depth (cm)","是否为危险品？
Dangerous Goods?","备注
Notes",,,,,,,,,,,,,,,,,,,
,电影摄影机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,MAVO Edge 8K 机身,MAVO Edge 8K,C181,A010-001-01,ME_1,9-010-001-01,6153055274262,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,MAVO Edge 6K 机身（深空灰）,MAVO Edge 6K (Deep Gray),C162,A010-002-01,ME_2,9-010-002-01,6153053845860,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,MAVO Edge 6K 机身（原色）,MAVO Edge 6K (Cyber Edition),C162,A010-002-02,ME_2,9-010-002-02,6153054814827,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,MAVO Edge 6K 机身（黑色）,MAVO Edge 6K (Black),C162,A010-002-03,ME_2,9-010-002-03,6153051683679,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,MAVO mark2 LF 机身,MAVO mark2 LF,C146,A010-003-01,MM2_1,9-010-003-01,6153051326330,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,MAVO mark2 LF（KineMOUNT）,MAVO mark2 LF(KineMOUNT),C146,A010-003-02,MM2_1,9-010-003-02,6153051780781,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,MAVO mark2 LF （E卡口）,MAVO mark2 LF (E Mount),C146,A010-003-03,MM2_1,9-010-003-03,6153057858811,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,MAVO mark2 LF （PL卡口）,MAVO mark2 LF (PL Mount),C146,A010-003-04,MM2_1,9-010-003-04,6153055144121,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,MAVO mark2 S35 机身,MAVO mark2 S35,C135,A010-004-01,MM2_2,9-010-004-01,6153052186186,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,MAVO mark2 S35（KineMOUNT）,MAVO mark2 S35 (KineMOUNT),C135,A010-004-02,MM2_2,9-010-003-02,6153050197177,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,MAVO mark2 S35 （E卡口）,MAVO mark2 S35 (E Mount),C135,A010-004-03,MM2_2,9-010-003-03,6153057019007,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,MAVO mark2 S35 （PL卡口）,MAVO mark2 S35 (PL Mount),C135,A010-004-04,MM2_2,9-010-003-04,6153051872820,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,附件套装,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,电影机核心版套装,MAVO Edge Core Pack,APE1,A901-001-01,-,P-005-001-00,6153050122148,电影机;套装,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,电影机专业版套装,MAVO Edge Pro Pack,APE1,A901-002-01,-,P-005-002-00,6153054974996,电影机;套装,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,电影机敏捷版套装,MAVO Edge Agile Pack,APE1,A901-004-01,-,P-005-003-00,6153051025011,电影机;套装,,,,,,,,,,,,,,,,,,,,,,,,,,
,监看,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,KineMON-5U2 超亮5寸监视器,KineMON-5U2 Ultra-Bright Monitor,MON21,A120-001-01,MON2_1,9-110-001-01,6153056614623,监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,KineMON-5U2 超亮5寸监视器套装,KineMON-5U2 Pack,MON21,A912-001-01,-,P-110-001-00,6153050831811,,,,,,,,,,,,,,,,,,,,,,,,,,,
