,,产品名称,产品名称(EN),产品型号,序列号前缀,物料ID,产品类型,备注,,,,,,,,,,,,,,,,,,,
,,Product Name,Product Name,Model Name,Serial Number(SN) Prefix,Material ID,,Notes,,,,,,,,,,,,,,,,,,,
,,MAVO Edge 8K 机身,MAVO Edge 8K,C181,ME_1,9-010-001-01,电影机,,,,,,,,,,,,,,,,,,,,
,,MAVO Edge 6K 机身,MAVO Edge 6K,C162,ME_2,9-010-002-01,电影机,,,,,,,,,,,,,,,,,,,,
,,MAVO mark2 LF 机身,MAVO mark2 LF,C146,MM2_1,9-010-003-01,电影机,,,,,,,,,,,,,,,,,,,,
,,MAVO mark2 S35 机身,MAVO mark2 S35,C135,MM2_2,9-010-004-01,电影机,,,,,,,,,,,,,,,,,,,,
,,电影机核心版套装,MAVO Edge Core Pack,APE1,,P-005-001-00,电影机;套装,,,,,,,,,,,,,,,,,,,,
,,KineMON-5U2 超亮5寸监视器,KineMON-5U2 Ultra-Bright Monitor,MON21,MON2_1,9-110-001-01,监视器,,,,,,,,,,,,,,,,,,,,
,,KineMON-7U2 超亮7寸监视器,KineMON-7U2 Ultra-Bright Monitor,MON22,MON2_2,9-110-002-01,监视器,,,,,,,,,,,,,,,,,,,,
,,KineMON 小监楔形块,KineMON Wedge Block,MON-ACC,,9-584-000-00,Rig,,,,,,,,,,,,,,,,,,,,
,,KineEVF2 全高清OLED寻像器,KineEVF2 Full-HD OLED Viewfinder,EVF20,EVF2_1,9-110-003-01,监视器,,,,,,,,,,,,,,,,,,,,
,,Kinefinity 视频线,Kine Video Cord ,VCM1,,9-110-501-01,线缆;监视器,,,,,,,,,,,,,,,,,,,,
,,KineMOUNT 万能口,KineMOUNT,KMA30,KM3_1,9-230-100-01,卡口,,,,,,,,,,,,,,,,,,,,
,,EF 3 转接卡口,EF 3 Mounting Adapter,EFC30,EF3_1,9-210-001-01,卡口,,,,,,,,,,,,,,,,,,,,
,,EF 3 转接卡口 带增光减焦,EF 3 Mounting Adapter w/ KineEnhancer,EFC31,EF3_2,9-210-002-01,卡口,,,,,,,,,,,,,,,,,,,,
,,EF 3 转接卡口 带电子ND,EF 3 Mounting Adapter w/ e-ND,EFC32,EF3_3,9-210-003-01,卡口,,,,,,,,,,,,,,,,,,,,
,,PL转接卡口,PL Mounting Adapter II,PLA30,PL3_1,9-210-004-01,卡口,,,,,,,,,,,,,,,,,,,,
,,PL 转接卡口 带电子ND,PL Mounting Adapter II w/ e-ND,PLA31,PL3_2,9-210-005-01,卡口,,,,,,,,,,,,,,,,,,,,
,,LPL 转接卡口,LPL Mounting Adapter,LPL30,LPL3_1,9-210-015-01,卡口,,,,,,,,,,,,,,,,,,,,
,,E 转接卡口,E Mounting Adapter,PSE30,SE3_1,9-210-016-01,卡口,,,,,,,,,,,,,,,,,,,,
,,原生PL卡口,Active PL Mount,PLA40,PL4_1,9-240-004-01,卡口,,,,,,,,,,,,,,,,,,,,
,,电子E卡口,Active E Mount,ACE40,SE4_1,9-240-007-01,卡口,,,,,,,,,,,,,,,,,,,,
,,原生LPL卡口,Active LPL Mount,LPL40,LPL4_1,9-240-006-01,卡口,,,,,,,,,,,,,,,,,,,,
,,KineMAG Nano 1TB存储卡,KineMAG Nano 1TB,MAG31,MAG3_1,9-310-011-01,存储卡,,,,,,,,,,,,,,,,,,,,
,,KineMAG Nano 2TB存储卡,KineMAG Nano 2TB,MAG32,MAG3_2,9-310-013-01,存储卡,,,,,,,,,,,,,,,,,,,,
,,KineMAG Nano卡体,KineMAG Nano Body,MAGB1,MAGB_1,9-310-012-01,存储卡,,,,,,,,,,,,,,,,,,,,
,,KineMAG Nano盒子,KineMAG Nano Case,CASM1,,9-310-510-01,存储卡,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
