,产品型号,产品名称,产品名称(EN),SKU/产品码,物料ID,UPC,产品类型,重量（千克）,体积（立方米）,长（厘米）,宽（厘米）,深度（厘米）,是否为危险品？,备注,,,,,,,,,,,,,,,,,,,
,Model Name,Product Name,Product Name,SKU/Product Code,Material ID,,,Weight (kg),Volume (cu.m),Length (cm),Width (cm),Depth (cm),Dangerous Goods?,Notes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C181,MAVO Edge 8K 机身,MAVO Edge 8K,A010-001-01,9-010-001-01,6153055274262,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C162,MAVO Edge 6K 机身（深空灰）,MAVO Edge 6K (Deep Gray),A010-002-01,9-010-002-01,6153053845860,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C162,MAVO Edge 6K 机身（原色）,MAVO Edge 6K (Cyber Edition),A010-002-02,9-010-002-02,6153054814827,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C162,MAVO Edge 6K 机身（黑色）,MAVO Edge 6K (Black),A010-002-03,9-010-002-03,6153051683679,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C146,MAVO mark2 LF 机身,MAVO mark2 LF,A010-003-01,9-010-003-01,6153051326330,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C146,MAVO mark2 LF（KineMOUNT）,MAVO mark2 LF(KineMOUNT),A010-003-02,9-010-003-02,6153051780781,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C146,MAVO mark2 LF （E卡口）,MAVO mark2 LF (E Mount),A010-003-03,9-010-003-03,6153057858811,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C146,MAVO mark2 LF （PL卡口）,MAVO mark2 LF (PL Mount),A010-003-04,9-010-003-04,6153055144121,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C135,MAVO mark2 S35 机身,MAVO mark2 S35,A010-004-01,9-010-004-01,6153052186186,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C135,MAVO mark2 S35（KineMOUNT）,MAVO mark2 S35 (KineMOUNT),A010-004-02,9-010-003-02,6153050197177,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C135,MAVO mark2 S35 （E卡口）,MAVO mark2 S35 (E Mount),A010-004-03,9-010-003-03,6153057019007,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,C135,MAVO mark2 S35 （PL卡口）,MAVO mark2 S35 (PL Mount),A010-004-04,9-010-003-04,6153051872820,电影机,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,APE1,电影机核心版套装,MAVO Edge Core Pack,A901-001-01,P-005-001-00,6153050122148,电影机;套装,,,,,,,,,,,,,,,,,,,,,,,,,,
,APE1,电影机专业版套装,MAVO Edge Pro Pack,A901-002-01,P-005-002-00,6153054974996,电影机;套装,,,,,,,,,,,,,,,,,,,,,,,,,,
,APE1,电影机敏捷版套装,MAVO Edge Agile Pack,A901-004-01,P-005-003-00,6153051025011,电影机;套装,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON21,KineMON-5U2 超亮5寸监视器,KineMON-5U2 Ultra-Bright Monitor,A120-001-01,9-110-001-01,6153056614623,监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON21,KineMON-5U2 超亮5寸监视器套装,KineMON-5U2 Pack,A912-001-01,P-110-001-00,6153050831811,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON22,KineMON-7U2 超亮7寸监视器,KineMON-7U2 Ultra-Bright Monitor,A120-002-01,9-110-002-01,6153050286222,监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON22,KineMON-7U2 超亮7寸监视器套装,KineMON-7U2 Pack,A912-002-01,P-110-002-01,6153056463412,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MON-ACC,KineMON 小监楔形块,KineMON Wedge Block,A612-505-01,9-584-000-00,6153050950932,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,EVF20,KineEVF2 全高清OLED寻像器,KineEVF2 Full-HD OLED Viewfinder,A120-003-01,9-110-003-01,6153053652611,监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,EVF20,KineEVF2 全高清OLED寻像器套装,KineEVF2 Pack,A912-003-01,P-501-000-01,6153055334355,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCM1,Kine 视频线（0.3米）,Kine Video Cord (0.3m),A612-001-01,9-110-501-01,6153051791732,线缆;监视器,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCM1,Kine 视频线（0.6米）,Kine Video Cord (0.6m),A612-002-01,9-110-501-02,6153052656627,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCM1,Kine 视频线（1.2米）,Kine Video Cord (1.2m),A612-003-01,9-110-501-03,6153057319312,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VCM1,Kine 视频线（0.3米 双弯头）,"Kine Video Cord (0.3m, Dual-L)",A612-004-01,9-110-501-05,6153052811835,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KMA30,KineMOUNT,KineMOUNT,A230-100-01,9-230-100-01,6153056165187,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,EFC30,EF 3 转接卡口,EF 3 Mounting Adapter,A230-001-01,9-210-001-01,6153051828865,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,EFC31,EF 3 转接卡口 带增光减焦,EF 3 Mounting Adapter w/ KineEnhancer,A230-002-01,9-210-002-01,6153053338317,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,EFC32,EF 3 转接卡口 带电子ND,EF 3 Mounting Adapter w/ e-ND,A230-003-01,9-210-003-01,6153050068064,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,EFC30,EF 3 转接卡口组合,EF Adapter 3 Combo,A923-001-01,P-200-000-01,6153049395300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLA30,PL转接卡口,PL Mounting Adapter II,A230-004-01,9-210-004-01,6153051128101,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLA31,PL 转接卡口 带电子ND,PL Mounting Adapter II w/ e-ND,A230-005-01,9-210-005-01,6153053944976,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLA30,PL转接卡口组合,PL Adapter II Combo,A923-002-01,P-210-004-01,6153050289230,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LPL30,LPL 转接卡口,LPL Mounting Adapter,A230-006-01,9-210-015-01,6153054127163,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,PSE30,E 转接卡口,E Mounting Adapter,A230-007-01,9-210-016-01,6153052723732,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,PLA40,原生PL卡口,Active PL Mount,A240-004-01,9-240-004-01,6153052377393,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACE40,电子E卡口,Active E Mount,A240-007-01,9-240-007-01,6153052294270,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,LPL40,原生LPL卡口,Active LPL Mount,A240-006-01,9-240-006-01,,卡口,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAG31,KineMAG Nano 1TB存储卡,KineMAG Nano 1TB,A330-001-01,9-310-011-01,6153057841837,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAG32,KineMAG Nano 2TB存储卡,KineMAG Nano 2TB,A330-002-01,9-310-013-01,6153055764756,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAGB1,KineMAG Nano卡体,KineMAG Nano Body,A330-003-01,9-310-012-01,6153050391322,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASM1,KineMAG Nano盒子,KineMAG Nano Case,A633-501-01,9-310-510-01,6153053298222,存储卡,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
