,#,"产品名称
Product Name","产品名称(EN)
Product Name","产品型号
Model Name","SKU/产品码
SKU/Product Code","序列号前缀
Serial Number(SN) Prefix","产品ID (SaaS)
Product ID",UPC,产品类型,"重量（千克）
Weight (kg)","体积（立方米）
Volume (cu.m)","长（厘米）
Length (cm)","宽（厘米）
Width (cm)","深度（厘米）
Depth (cm)","是否为危险品？
Dangerous Goods?","备注
Notes",,,,,,,,,,,,,,,,,,,
,Eagle 寻像器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Kinefinity猎影SDI电子寻像器（黑色）,Kinefinity EAGLE SDI e-Viewfinder (Black),KVF10,K110-001-01,KVF_1,9-130-001-01,6153057960937,电子寻像器,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,Kinefinity猎影SDI电子寻像器（原色）,Kinefinity EAGLE SDI e-Viewfinder (Cyber),KVF10,K110-001-02,KVF_1,9-130-001-02,6153057960938,电子寻像器,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,Kinefinity猎影SDI电子寻像器 核心套装（黑色）,Kinefinity EAGLE SDI e-Viewfinder Core KIT (Black),KVF10,K911-001-01,,P-130-001-01,6153057960935,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,Kinefinity猎影SDI电子寻像器 核心套装（原色）,Kinefinity EAGLE SDI e-Viewfinder Core KIT (Cyber),KVF10,K911-001-02,,P-130-001-02,6153057960936,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Kinefinity猎影SDI电子寻像器 专业套装（黑色）,Kinefinity EAGLE SDI e-Viewfinder Pro KIT (Black),KVF10,K911-004-01,,P-130-001-03,757200089727,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,Kinefinity猎影SDI电子寻像器 专业套装（原色）,Kinefinity EAGLE SDI e-Viewfinder Pro KIT (Cyber),KVF10,K911-004-02,,P-130-001-04,757200089735,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,Kinefinity猎影HDMI电子寻像器,Kinefinity EAGLE HDMI e-Viewfinder,KVF11,K110-002-01,KVF_2,9-130-002-01,757200089532,电子寻像器,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,Kinefinity猎影HDMI电子寻像器 核心套装,Kinefinity EAGLE HDMI e-Viewfinder Core KIT,KVF11,K911-002-01,,P-130-002-01,757200089549,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,Kinefinity猎影HDMI电子寻像器 专业套装,Kinefinity EAGLE HDMI e-Viewfinder Pro KIT,KVF11,K911-003-01,,P-130-002-02,757200089556,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,"SDI寻像器复合线缆（B型口, 40cm）","SDI e-Viewfinder Cord (D-Tap, 40cm)",KCB1,K611-001-01,,9-611-001-01,6153057960939,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,"SDI寻像器复合线缆（B型口, 70cm）","SDI e-Viewfinder Cord (D-Tap, 70cm)",KCB1,K611-001-02,,9-611-001-02,6153057960941,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"SDI寻像器复合线缆（RS口, 40cm）","SDI e-Viewfinder Cord (RS, 40cm)",KCR1,K611-002-01,,9-611-002-01,6153057960942,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"SDI寻像器复合线缆（RS口, 70cm）","SDI e-Viewfinder Cord (RS, 70cm)",KCR1,K611-002-02,,9-611-002-02,6153057960943,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,"SDI寻像器复合线缆（0B2P, 50cm）","SDI e-Viewfinder Cord (0B2P, 50cm)",KCL1,K611-011-01,,9-611-011-01,757200089739,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,"HDMI寻像器复合线缆（Type-C, 25cm）","HDMI e-Viewfinder Cord (Type-C, 25cm)",KCH1,K611-003-01,,9-611-003-01,757200089563,线缆,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"HDMI寻像器复合线缆（Type-C, 50cm）","HDMI e-Viewfinder Cord (Type-C, 50cm)",KCH1,K611-003-02,,9-611-003-02,757200089570,线缆,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,"HDMI寻像器复合线缆（B型口, 50cm）","HDMI e-Viewfinder Cord (D-Tap, 50cm)",KCH2,K611-004-01,,9-611-004-01,757200089587,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,"HDMI寻像器复合线缆（0B2P, 50cm）","HDMI e-Viewfinder Cord (0B2P, 50cm)",KCH3,K611-012-01,,9-611-012-01,757200089741,线缆;电源,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rigs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"寻像器牙盘（1/4""-20）","E-Viewfinder Rosette (1/4""-20)",KRV3,K611-006-01,,9-611-006-01,757200089718,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,寻像器牙盘（M6）,E-Viewfinder Rosette (M6),KRV4,K611-007-01,,9-611-007-01,757200089720,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,寻像器硅胶眼罩,E-Viewfinder Eye Cup,KRV6,A612-510-01,,9-612-510-01,757200089722,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,支架转接件,Kinefinity Bracket Adapter,KRV9,K611-009-01,,9-611-009-01,757200089726,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,"寻像器转接件（1/4""-20）","E-Viewfinder Extension Adapter (1/4""-20)",KRV10,K611-010-01,,9-611-010-01,757200089756,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"支架转接件（Sony-1/4""）","Kinefinity Bracket Adapter (Sony-1/4"")",KRV11,K611-011-01,,9-611-011-01,,Rig,,,,,,,,,,,,,,,,,,,,,,,,,,
