#,兼容机型,SKU,物料ID,分类,内部名称（CN）,内部名称（EN）,对外名称（CN）,对外名称（EN）,CNY,USD,EUR
1,EAGLE SDI KVF,S2-119-012-01,2-119-012-01,主板,EAGLE SDI主板,EAGLE SDI EVF Main Board,EAGLE 主板,EAGLE SDI EVF Main Board,982,187,187
2,EAGLE SDI KVF,S2-119-011-01,2-119-011-01,接口板,EAGLE SDI 按键板,EAGLE SDI EVF Button Board,EAGLE 按键板,EAGLE SDI EVF Button Board,276,68,68
3,EAGLE SDI KVF/Ealge HDMI KVF,S2-119-003-01,2-119-003-01,大模块,EAGLE 目镜模组,EAGLE SDI EVF Optics Module,EAGLE 目镜模组,EAGLE SDI EVF Optics Module,3982,586,586
1,EAGLE HDMI KVF,S2-119-015-01,2-119-015-01,主板,Eagle HDMI主板,EAGLE HDMI EVF Main Board,EAGLE 主板,EAGLE HDMI EVF Main Board,982,187,187
2,EAGLE HDMI KVF,S2-119-016-01,2-119-016-01,接口板,Eagle 接口板,EAGLE HDMI EVF Interface Board,EAGLE 按键板,EAGLE HDMI EVF Interface Board,276,68,68
4,MAVO Edge 8K,S1-019-003-01,1-019-003-01,CMOS传感器,Edge 8K 传感器,MAVO Edge 8K Sensor,Edge 8K CMOS 传感器,MAVO Edge 8K Sensor,15000,2499,2499
5,MAVO Edge 6K/MAVO mark2 LF,S1-019-004-01,1-019-004-01,CMOS传感器,Edge 6K/MM2 LF 传感器,MAVO Edge 6K/mark2 LF Sensor,Edge 6K CMOS 传感器,MAVO Edge 6K/mark2 LF Sensor,9500,1599,1599
6,MAVO mark2 S35,S1-019-005-01,1-019-005-01,CMOS传感器,MM2 S35 传感器,MAVO mark2 S35 Sensor,MM2 S35 传感器,MAVO mark2 S35 Sensor,,,
7,MAVO Edge 6K/MAVO Edge 8K/MAVO mark2 S35/MAVO mark2 LF,S3-800-002-01,3-800-002-01,主板,Edge/MM2 主板,MAVO Edge/mark2 Element/Main Board,Edge主板,MAVO Edge/mark2 Main Board,4000,799,799
8,MAVO Edge 6K/MAVO Edge 8K/MAVO mark2 S35/MAVO mark2 LF,S1-010-001-01,1-010-001-01,主板,Edge/MM2 MC，图像处理模块,MAVO Edge/mark2 MC Board,Edge图像处理模块,MAVO Edge/mark2 Image Processing Module,5500,1199,1199
9,MAVO Edge 6K/MAVO Edge 8K/MAVO mark2 S35/MAVO mark2 LF,S1-010-010-02,1-010-010-02,显示,Edge/MM2 HDA，显示模块,MAVO Edge/mark2 HDA Board,Edge显示模块,MAVO Edge/mark2 Display Module,990,199,199
